Age,Employment,RemoteWork,EdLevel,LearnCodeCoursesCert,YearsCodePro,DevType,OrgSize,Country,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,AISelect,ICorPM,Industry,ConvertedCompYearly,learnedCodeViaBooksPhysicalmedia,learnedCodeViaCodingBootcamp,learnedCodeViaFriendorfamilymember,learnedCodeViaHackathonsvirtualorinperson,learnedCodeViaOnlineCoursesorCertification,learnedCodeViaOnthejobtraining,learnedCodeViaOtheronlineresourcesegvideosblogsforum,learnedCodeViaSchoolieUniversityCollegeetc,languageUsedCfamily,languageUsedHTMLCSS,languageUsedJavafamily,languageUsedJulia,languageUsedMATLAB,languageUsedPython,languageUsedR,languageUsedRuby,languageUsedSQL,languageUsedSwift,languageUsedVBA
55-64 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,29,Cloud infrastructure engineer,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,1,1,0,1,1,0,Individual contributor,Healthcare,15400.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,25,Engineering manager,"10,000 or more employees",United States of America,0,1,1,1,1,1,People manager,"Information Services, IT, Software Development, or other Technology",295000.0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,15,"Developer, back-end","5,000 to 9,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",125000.0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,11,Engineering manager,100 to 499 employees,United States of America,1,1,1,1,1,0,People manager,"Information Services, IT, Software Development, or other Technology",175000.0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,15,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",215000.0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,14,"Developer, mobile","1,000 to 4,999 employees",United States of America,1,0,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",140000.0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,2,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",90000.0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,7,Data scientist or machine learning specialist,"10,000 or more employees",United States of America,0,1,0,1,1,0,Individual contributor,Financial Services,165974.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,9,Engineering manager,100 to 499 employees,United States of America,1,1,1,1,1,1,People manager,Healthcare,192000.0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,13,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,280000.0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,27,"Developer, back-end","10,000 or more employees",United States of America,1,1,0,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",145000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0,2,"Developer, back-end",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",70000.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,4,"Developer, full-stack",10 to 19 employees,United States of America,1,1,1,1,1,1,People manager,"Information Services, IT, Software Development, or other Technology",126000.0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0
45-54 years old,"Employed, full-time",In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",0,28,Academic researcher,500 to 999 employees,United States of America,1,0,1,1,1,0,Individual contributor,Higher Education,183000.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,14,"Developer, embedded applications or devices","5,000 to 9,999 employees",United States of America,1,0,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",125000.0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,0,12,Developer Advocate,"10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",200000.0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
25-34 years old,"Employed, full-time",Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,5,Engineering manager,100 to 499 employees,United States of America,1,1,1,1,1,1,People manager,"Information Services, IT, Software Development, or other Technology",170000.0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",0,8,"Developer, full-stack",500 to 999 employees,United States of America,1,1,1,1,1,0,Individual contributor,Insurance,130000.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,2,Data scientist or machine learning specialist,"10,000 or more employees",United States of America,1,0,0,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",9000000.0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0
18-24 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,Less than 1 year,"Developer, full-stack","5,000 to 9,999 employees",United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",73000.0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",In-person,Some college/university study without earning a degree,0,6,"Developer, full-stack","10,000 or more employees",United States of America,1,0,0,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",50000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
45-54 years old,"Employed, full-time",Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,25,"Developer, desktop or enterprise applications",20 to 99 employees,United States of America,1,1,0,1,1,0,Individual contributor,Healthcare,110000.0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,15,"Developer, back-end","10,000 or more employees",United States of America,1,0,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",350000.0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,10,Data scientist or machine learning specialist,"10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",165000.0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
45-54 years old,"Employed, full-time",In-person,Some college/university study without earning a degree,0,27,Project manager,"1,000 to 4,999 employees",United States of America,1,1,1,1,0,0,People manager,Higher Education,111420.0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,21,"Developer, front-end","1,000 to 4,999 employees",United States of America,0,1,1,1,1,0,Individual contributor,Insurance,120000.0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,10,Security professional,"10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",250000.0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,31,"Developer, back-end",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,Retail and Consumer Services,150000.0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
18-24 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,1,"Developer, full-stack",20 to 99 employees,United States of America,1,0,0,0,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",73000.0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",1,Less than 1 year,"Developer, full-stack",500 to 999 employees,United States of America,1,1,1,0,1,1,Individual contributor,Advertising Services,50000.0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",In-person,Some college/university study without earning a degree,1,5,Hardware Engineer,10 to 19 employees,United States of America,1,0,0,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",40000.0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",In-person,Some college/university study without earning a degree,1,23,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,0,1,1,Individual contributor,Advertising Services,110000.0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,12,Product manager,"10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",200000.0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
55-64 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,11,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",130000.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,10,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",235000.0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,11,"Developer, full-stack",500 to 999 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",150000.0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,3,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,0,1,1,Individual contributor,Financial Services,92000.0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,0,6,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,72500.0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,5,"Developer, back-end","10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,Retail and Consumer Services,120000.0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,12,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",139000.0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0
55-64 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,27,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,220000.0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,9,"Developer, front-end",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,185000.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,26,Developer Advocate,500 to 999 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",246000.0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,11,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",100000.0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0,36,"Developer, desktop or enterprise applications",10 to 19 employees,United States of America,1,0,1,1,1,0,People manager,Financial Services,128000.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,33,"Developer, back-end","10,000 or more employees",United States of America,0,0,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",205000.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,2,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,1,Individual contributor,Financial Services,117000.0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",0,15,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",375000.0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,Less than 1 year,"Developer, front-end",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",85000.0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",1,15,DevOps specialist,500 to 999 employees,United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,135000.0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,2,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,1,Individual contributor,Financial Services,105000.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0
35-44 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",1,20,DevOps specialist,100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",225000.0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
35-44 years old,"Employed, full-time",In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0,8,"Developer, full-stack",10 to 19 employees,United States of America,1,0,0,1,1,0,People manager,"Manufacturing, Transportation, or Supply Chain",85000.0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",0,7,"Developer, back-end","10,000 or more employees",United States of America,0,0,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",172000.0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,8,Engineering manager,"10,000 or more employees",United States of America,1,1,1,1,1,1,People manager,Financial Services,285000.0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
18-24 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",0,5,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,Insurance,94000.0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,15,"Developer, back-end","10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,Retail and Consumer Services,350000.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",0,8,Research & Development role,100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",120000.0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,6,"Developer, front-end",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Advertising Services,75000.0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,5,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,0,1,1,1,0,Individual contributor,Higher Education,80000.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
35-44 years old,"Employed, full-time",Remote,Primary/elementary school,0,15,"Developer, full-stack",2 to 9 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",130000.0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
55-64 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,40,"Developer, back-end","10,000 or more employees",United States of America,0,0,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",185000.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,16,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,Higher Education,168000.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,10,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Legal Services,80000.0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,15,"Developer, full-stack",10 to 19 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",39999.0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,20,"Developer, full-stack",500 to 999 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",138000.0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,5,"Developer, back-end",20 to 99 employees,United States of America,1,1,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",115000.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,23,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,0,1,1,0,Individual contributor,Financial Services,235000.0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Some college/university study without earning a degree,0,26,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,Financial Services,200000.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",0,Less than 1 year,"Developer, back-end","10,000 or more employees",United States of America,1,1,0,0,1,0,Individual contributor,Retail and Consumer Services,160000.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,10,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,175000.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,2,Cloud infrastructure engineer,"1,000 to 4,999 employees",United States of America,1,1,0,1,1,0,Individual contributor,Healthcare,85000.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,0,12,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,1,Individual contributor,Financial Services,138000.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",1,3,Research & Development role,"10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",110000.0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
