qname,question,force_resp,type,selector
OrgSize,"Approximately how many people are employed by the company or organization you currently work for?  This should only include your primary company, and not the entire holding or parent company if that applies.",FALSE,MC,SAVR
PurchaseInfluence,"What level of influence do you, personally, have over new technology purchases at your organization?",FALSE,MC,SAVR
TechList,"When thinking about new technology purchases at your organization, are you more likely to be given a short list of products/services to evaluate or be told to investigate on your own?",FALSE,MC,SAVR
BuyNewTool,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply.",FALSE,MC,MAVR
Country,"Where do you live? <span style=""font-weight: bolder;"">*</span>",TRUE,MC,DL
Currency,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *",TRUE,MC,DL
CompTotal,"What is your current total <b>annual</b> compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty.",FALSE,TE,SL
S3,"<span style=""font-size:22px; font-family: arial,helvetica,sans-serif; font-weight: 700;"">Tech and tech culture</span><br>
<br>

<p><span style=""font-size:16px; font-family:arial,helvetica,sans-serif;"">The next set of questions will focus on technology and tech culture.<br>
<br>
Most questions in this section are optional. Required questions are noted with *.</span></p>",FALSE,DB,TB
Language,"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",FALSE,Matrix,Likert
Database,"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",FALSE,Matrix,Likert
Platform,"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)",FALSE,Matrix,Likert
Webframe,"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",FALSE,Matrix,Likert
MiscTech,"Which <b>other frameworks and libraries</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",FALSE,Matrix,Likert
ToolsTech,"Which <b>developer </b><strong>tools for compiling, building and testing</strong> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)",FALSE,Matrix,Likert
NEWCollabTools,"Which <strong>development environments</strong> did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply.",FALSE,Matrix,Likert
OpSys,What is the primary <b>operating system</b> in which you work? ,FALSE,Matrix,Likert
OfficeStackAsync,"Which <b>collaborative work management and/or code documentation tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",FALSE,Matrix,Likert
OfficeStackSync,"Which <b>communication tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",FALSE,Matrix,Likert
AISearch,"Which <b>AI-powered search tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply.",FALSE,Matrix,Likert
AIDev,"Which <b>AI-powered developer tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",FALSE,Matrix,Likert
S4,"<span style=""font-size:22px; font-family: arial,helvetica,sans-serif; font-weight: 700;"">Stack Overflow - usage and community</span><br>
<br>

<p><span style=""font-size:16px; font-family:arial,helvetica,sans-serif;"">This section will focus on Stack Overflow usage and community questions.<br>
<br>
Most questions in this section are optional. Required questions are noted with *.</span></p>",FALSE,DB,TB
NEWSOSites,Which of the following Stack Overflow sites have you visited? Select all that apply. *,TRUE,MC,MAVR
SOVisitFreq,How frequently would you say you visit Stack Overflow?,FALSE,MC,SAVR
SOAccount,Do you have a Stack Overflow account?,FALSE,MC,SAVR
SOPartFreq,"How frequently would you say you participate in Q&amp;A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions.",FALSE,MC,SAVR
SOComm,Do you consider yourself a member of the Stack Overflow community?,FALSE,MC,SAVR
S5,"<span style=""font-size:22px; font-family: arial,helvetica,sans-serif; font-weight: 700;"">Artificial Intelligence (AI)</span><br>
<br>

<p><span style=""font-size:16px; font-family:arial,helvetica,sans-serif;"">This section will focus on AI usage and sentiment</span><span style=""font-family: arial, helvetica, sans-serif; font-size: 16px;"">.</span></p><p><span style=""font-size:16px; font-family:arial,helvetica,sans-serif;"">
<br>
Most questions in this section are optional. Required questions are noted with *.</span></p>",FALSE,DB,TB
SOAI,"Artificial Intelligence (AI) tools have gained prominence recently across industries. The following question asks for your perspective on Stack Overflow using AI technology to improve the current experience, for example by using AI to suggest better titles for your question. For your response, consider these sorts of improvements to the experience with/on Stack Overflow and not the presence or absence of content generated by AI and posted on Stack Overflow. <br><br>What is your opinion on Stack Overflow using AI tools to improve the current experience? What could AI help with most to improve Stack Overflow?",FALSE,TE,SL
AISelect,Do you currently use AI tools in your development process? *,TRUE,MC,SAVR
AISent,How favorable is your stance on using AI tools as part of your development workflow?,FALSE,MC,SAVR
AIAcc,"For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve? Please check all that apply.",FALSE,MC,MAVR
AIBen,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,FALSE,MC,SAVR
AITool,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.,FALSE,Matrix,Likert
AINext,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using?",FALSE,Matrix,Likert
AIOpen,"Please describe how you would expect your workflow to be different, if at all, in 1 year as a result of AI advancements.",FALSE,TE,SL
S6,"<span style=""font-size:22px; font-family: arial,helvetica,sans-serif; font-weight: 700;"">Professional Developer Series</span><br>
 
<p><span style=""font-size: 16px;""></span></p>In one of our previous pulse surveys, we saw that people valued being productive and having growth opportunities at work. By adding a <b>Professional Developer Series </b>to the survey we want to better understand the things that may impact your productivity and opportunities to learn. <br><br>Like the rest of the survey, your responses are completely anonymous.  Most questions in this section are optional. Required questions are noted with *.<p><span style=""font-size: 16px;""></span></p>

<p> </p>

<p><span style=""font-size: 16px;"">Blog post - <a href=""https://stackoverflow.blog/2021/12/07/new-data-what-developers-look-for-in-future-job-opportunities/"">New data: What developers look for in future job opportunities</a> - December 7, 2021</span></p>",FALSE,DB,TB
TBranch,"<span style=""font-size:16px;"">Would you like to participate in the Professional Developer Series? *</span>",TRUE,MC,SAVR
ICorPM,Are you an individual contributor or people manager?,FALSE,MC,SAVR
WorkExp,How many years of working experience do you have?,FALSE,Slider,HSLIDER
Knowledge,Please rate your level of agreement with the following statement:,FALSE,Matrix,Likert
Frequency,How frequently do you experience each of the following?,FALSE,Matrix,Likert
TimeSearching,"On an average day, how much time do you typically spend searching for answers or solutions to problems you encounter at work? (This includes time spent searching on your own, asking a colleague, and waiting for a response).",FALSE,MC,SAVR
TimeAnswering,"On an average day, how much time do you typically spend answering questions you get asked at work?",FALSE,MC,SAVR
ProfessionalTech,My company has:,FALSE,MC,MAVR
Industry,What industry is the company you work for in?,FALSE,MC,SAVR
SOTeamsUsage,Does your team use Stack Overflow for Teams?,FALSE,MC,SAVR
S7,"<span style=""font-size:22px;""><strong>Final Questions</strong></span><div><br></div>",FALSE,DB,TB
SurveyLength,How do you feel about the length of the survey this year?,FALSE,MC,MAVR
SurveyEase,How easy or difficult was this survey to complete?,FALSE,MC,MAVR
Knowledge_1,I have interactions with people outside of my immediate team.,NA,MC,MAVR
Knowledge_2,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)",NA,MC,MAVR
Knowledge_3,I can find up-to-date information within my organization to help me do my job.,NA,MC,MAVR
Knowledge_4,I am able to quickly find answers to my questions with existing tools and resources.,NA,MC,MAVR
Knowledge_5,I know which system or resource to use to find information and answers to questions I have.,NA,MC,MAVR
Knowledge_6,I often find myself answering questions that I’ve already answered before.,NA,MC,MAVR
Knowledge_7,Waiting on answers to questions often causes interruptions and disrupts my workflow.,NA,MC,MAVR
Knowledge_8,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.,NA,MC,MAVR
Frequency_1,Needing help from people outside of your immediate team?,NA,MC,MAVR
Frequency_2,Interacting with people outside of your immediate team?,NA,MC,MAVR
Frequency_3,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?,NA,MC,MAVR
